date,usdinr,ret_1,ret_5,ret_10,ret_20,vol_5,vol_20,ma_5,ma_20,ma_50,price_ma5_ratio,price_ma20_ratio,ma_ratio,rsi_14,target_logret,fcst_rw,year,ppp_rate,fcst_ppp,india_rate_decimal,usa_rate_decimal,fcst_irp,lgbm_logret,fcst_lgbm,ridge_logret,fcst_ridge,tree_logret,fcst_tree,mlp_logret,fcst_mlp
2021-06-16,73.3447036743164,0.0022396896398795274,0.005061986808390095,0.0067215742889155106,0.0029606494858300803,0.0015460285963147112,0.002146459080530291,73.15093994140625,72.91728515625,73.72258193969726,1.002648820822608,1.0058616899566477,1.0032043813021227,68.44299870637144,0.006514895817924961,73.3447036743164,2021,74.22281195371205,74.22281195371205,0.0915,0.0354416666666667,73.35529919860895,,,,,,,,
2021-06-17,73.8240966796875,0.00653616391307299,0.011492705300016448,0.011772662453644944,0.008210495430463371,0.002789730540558848,0.0025714713074524343,73.31869964599609,72.94734497070313,73.71103393554688,1.0068931532628322,1.0120189666853054,1.005090722293486,74.9009396581003,0.005805091391736581,73.8240966796875,2021,74.22281195371205,74.22281195371205,0.0915,0.0354416666666667,73.83476145806357,,,,,,,,
2021-06-18,74.25389862060547,0.0058219735865217,0.017005354723806043,0.016561227125534872,0.016871682600354543,0.002913809421033508,0.0027267338078425947,73.56701965332032,73.00894508361816,73.70522186279297,1.0093367784983274,1.0170520685590163,1.0076439204684164,88.25491352694596,-0.0014825102932240518,74.25389862060547,2021,74.22281195371205,74.22281195371205,0.0915,0.0354416666666667,74.26462548903955,,,,,,,,
2021-06-21,74.1438980102539,-0.0014814119176906893,0.012457738681384445,0.016927782579668982,0.016926399211923515,0.003655259434444596,0.002724295665949761,73.74947967529297,73.07065010070801,73.69350982666016,1.0053480829518728,1.014687811153544,1.0092900442742658,83.83943848975686,-0.00011731268753260976,74.1438980102539,2021,74.22281195371205,74.22281195371205,0.0915,0.0354416666666667,74.15460898777725,,,,,,,,
2021-06-22,74.13520050048828,-0.00011730580666835522,0.013041659707709208,0.018209159665749874,0.017828937934325717,0.0035371597938396965,0.002699761063564795,73.94035949707032,73.13558006286621,73.67639389038087,1.0026351103070534,1.0136680455226144,1.0110039386234762,80.64467820878077,0.0026537638880837636,74.13520050048828,2021,74.22281195371205,74.22281195371205,0.0915,0.0354416666666667,74.14591022155176,,,,,,,,
2021-06-23,74.33219909667969,0.00265728823637712,0.013463759111335571,0.018593899290738403,0.02097795546829384,0.0035314560403706436,0.0027085656922642997,74.13785858154297,73.21194496154786,73.65940780639649,1.0026213397426764,1.015301521298474,1.0126470293950176,81.41775081530315,-0.0011481647059753608,74.33219909667969,2021,74.22281195371205,74.22281195371205,0.0915,0.0354416666666667,74.34293727655897,,,,,,,,
2021-06-24,74.24690246582031,-0.0011475058170744568,0.0057272056841726204,0.01728573207130979,0.02166434128791339,0.003078478648146224,0.0026752149827391266,74.22241973876953,73.2906650543213,73.64382385253906,1.0003298562231864,1.0130471924465452,1.0127131427141185,77.5612536409507,-0.0007626454801786928,74.24690246582031,2021,74.22281195371205,74.22281195371205,0.0915,0.0354416666666667,74.25762832357572,,,,,,,,
2021-06-25,74.19029998779297,-0.0007623547400297248,-0.0008565022711797265,0.016134287327683072,0.020738017946601905,0.0016600103986899519,0.002699402434915796,74.20970001220704,73.36603012084962,73.63308181762696,0.9997385783204773,1.0112350343283616,1.0114994622166105,80.4328197466757,0.0003058887410372234,74.19029998779297,2021,74.22281195371205,74.22281195371205,0.0915,0.0354416666666667,74.20101766863988,,,,,,,,
2021-06-28,74.21299743652344,0.0003059355297687638,0.0009319637640305967,0.013401312606447613,0.025133418367266236,0.0014909100936675332,0.0024378649538932926,74.22351989746093,73.45700492858887,73.62607772827148,0.9998582327953184,1.0102916326178764,1.0104348791462057,84.63302234169923,0.0009751345590016888,74.21299743652344,2021,74.22281195371205,74.22281195371205,0.0915,0.0354416666666667,74.22371839628971,,,,,,,,
2021-06-29,74.285400390625,0.0009756101572839793,0.0020260266259848336,0.015094109083509055,0.02480717378157049,0.0015150247740690808,0.0024385653276048367,74.25355987548828,73.54691505432129,73.61422180175781,1.0004288079277293,1.0100410103640414,1.0096080824144027,83.88968489857784,2.9578263265159066e-05,74.285400390625,2021,74.22281195371205,74.22281195371205,0.0915,0.0354416666666667,74.29613180986851,,,,,,,,
2021-06-30,74.28759765625,2.9578700706300864e-05,-0.0006000285336866806,0.012855651938011414,0.01966363644646063,0.0008474290496370343,0.002275325091589737,74.24463958740235,73.61854476928711,73.59098968505859,1.0005786016214286,1.0090881025842011,1.00850458019888,83.82443277519073,0.0011220951878870115,74.28759765625,2021,74.22281195371205,74.22281195371205,0.0915,0.0354416666666667,74.29832939291495,,,,,,,,
2021-07-01,74.37100219726562,0.0011227249722296495,0.001671446583275893,0.007408224985820944,0.019268101971604557,0.0007630864772274038,0.0022721766230921793,74.2694595336914,73.68883972167968,73.56981979370117,1.0013672196379477,1.009257337721186,1.007879345287627,84.28487821406294,0.0023368348657166033,74.37100219726562,2021,74.22281195371205,74.22281195371205,0.0915,0.0354416666666667,74.38174598271932,,,,,,,,
2021-07-02,74.54499816894531,0.0023395673923847227,0.00478092393764018,0.0039203267942495845,0.020546479342230306,0.0008976736705668561,0.0022931147384192756,74.34039916992188,73.76387977600098,73.55888580322265,1.0027521912890967,1.0105894428996463,1.007815741195713,83.9171723540074,-0.0008481952299413636,74.54499816894531,2021,74.22281195371205,74.22281195371205,0.0915,0.0354416666666667,74.55576709020913,,,,,,,,
